"","dv","method","OR","lower","upper","p","star","est","se","zeta1","zeta1_se","zeta2","zeta2_se","zeta3","zeta3_se","zeta4","zeta4_se","zeta5","zeta5_se","zeta6","zeta6_se"
"1","MOS_1","logistic",1.19143509102613,1.01331770552188,1.40086131762335,0.0316616219531945,"*",0.175158539384652,0.082618219627088,-0.641018726369911,0.570355823579213,0.512268562207139,0.557719271283595,2.10892061951423,0.592811486606782,3.46086596873544,0.664407354890498,NA,NA,NA,NA
"2","MOS_2","logistic",3.19543673680509,2.38727988880959,4.27717587149579,3.15798862255542e-24,"***",1.16172377232346,0.148762517408164,2.34088400044373,0.679186446228086,4.71759928703958,0.759762151941385,6.86137481035471,0.969856540884339,8.49621010792284,1.12629471110387,NA,NA,NA,NA
"3","MOS_3","logistic",3.54575768473164,2.56348878110441,4.90440904267074,1.68235798849064e-25,"***",1.26575187049803,0.165504436419452,4.33770584721547,0.788632877463583,5.81016747103813,0.88211708412399,7.21165705067458,1.01799635463251,8.91378402082499,1.22024340220298,NA,NA,NA,NA
"4","MOS_4","logistic",2.84901992932742,2.13583436786461,3.80034832280559,1.79531859530037e-20,"***",1.04697505069222,0.147001515338077,5.31631586657908,0.896587144255693,6.26098269240955,0.962927431057716,8.0422286039144,1.13828097989922,8.59322641779645,1.18002249459689,NA,NA,NA,NA
"5","MOS_5","logistic",0.741825470476712,0.631033548827555,0.872069368848056,0.000206296461567657,"***",-0.298641278473096,0.0825295632690451,-3.53688225733875,0.638149680508586,-2.41519768847142,0.590024224773423,-1.08536922117689,0.541016564797726,0.600740152117987,0.569651405169905,NA,NA,NA,NA
"6","MOS_6","logistic",0.659055337310185,0.552691494735131,0.785888586624983,1.22208812008858e-06,"***",-0.416947776365924,0.0898014115860096,-2.6242909284966,0.597866485930793,-1.8168510935802,0.556614866635195,-0.793194534580687,0.535327750854917,0.0711395371982402,0.568685967452333,NA,NA,NA,NA
"7","MOS_7","logistic",1.89242035636103,1.54722802765312,2.31462637773033,5.4287693348167e-12,"***",0.637856621618833,0.102752735547029,-0.375887910609826,0.736564730354136,1.60227926977635,0.592131630021876,3.2056874261941,0.651154721237286,4.84764109283171,0.76035869334517,NA,NA,NA,NA
"8","MOS_8","logistic",1.64703491988209,1.36959526115113,1.98067568153746,1.45225179841456e-08,"***",0.498976653084941,0.0941146817822124,1.34695647595628,0.567241622786776,2.63171766004041,0.611577046296931,4.02275670442177,0.688372154165536,5.0742499522271,0.743831817023754,NA,NA,NA,NA
"9","MOS_9","logistic",0.701511445960732,0.593848950561432,0.828692731289096,1.37643611738236e-05,"***",-0.354518063163992,0.0850077971286853,-3.30069421728617,0.628515698037483,-2.23033796149064,0.587725326333046,-1.34124976029723,0.559469113897779,-0.142823684160178,0.555978420546698,NA,NA,NA,NA
"10","MOS_10","logistic",0.590013791223865,0.487208736840867,0.714511558416616,4.15695895949838e-09,"***",-0.527609367399859,0.0976820309440075,-4.13745883537176,0.71433608150268,-2.96945789295678,0.646262942242888,-0.514113669560822,0.595072344793943,0.437949421273408,0.687245022146023,NA,NA,NA,NA
